artist	album	track_no	title	length	file	size
'Til Tuesday	Coming up Close: A Retrospective	1	Love in a Vacuum	3:37	'Til Tuesday\Coming up Close- A Retrospective\01-Love in a Vacuum.mp3	5224841
'Til Tuesday	Coming up Close: A Retrospective	2	Voices Carry [Single]	4:23	'Til Tuesday\Coming up Close- A Retrospective\02-Voices Carry [Single].mp3	6319094
'Til Tuesday	Coming up Close: A Retrospective	6	Coming up Close	4:42	'Til Tuesday\Coming up Close- A Retrospective\06-Coming up Close.mp3	6769141
'Til Tuesday	Coming up Close: A Retrospective	7	Will She Just Fall Down	2:52	'Til Tuesday\Coming up Close- A Retrospective\07-Will She Just Fall Down.mp3	4149965
'Til Tuesday	Coming up Close: A Retrospective	9	What About Love	3:58	'Til Tuesday\Coming up Close- A Retrospective\09-What About Love.mp3	5723721
'Til Tuesday	Coming up Close: A Retrospective	11	The Other End (Of the Telescope)	3:52	'Til Tuesday\Coming up Close- A Retrospective\11-The Other End (Of the Telescope).mp3	5589791
'Til Tuesday	Coming up Close: A Retrospective	13	(Believed You Were) Lucky	3:38	'Til Tuesday\Coming up Close- A Retrospective\13-(Believed You Were) Lucky.mp3	5244854
10,000 Maniacs	None	None	Love Will Tear Us Apart	5:14	10,000 Maniacs\10000_maniacs-love_will_tear_us_apart_live.mp3	5024167
None	None	None	perfect	1:01	10,000 Maniacs\perfect.mp3	1223602
13th Floor Elevators	Easter Everywhere	1	Slip Inside This House	8:03	13th Floor Elevators\Easter Everywhere\01 Slip Inside This House.mp3	15470067
13th Floor Elevators	Easter Everywhere	2	Slide Machine	3:43	13th Floor Elevators\Easter Everywhere\02 Slide Machine.mp3	7152670
13th Floor Elevators	Easter Everywhere	3	She Lives In (A Time Of Her Own)	2:57	13th Floor Elevators\Easter Everywhere\03 She Lives In (A Time Of Her Own).mp3	5692340
13th Floor Elevators	Easter Everywhere	4	Nobody To Love	2:59	13th Floor Elevators\Easter Everywhere\04 Nobody To Love.mp3	5750836
13th Floor Elevators	Easter Everywhere	5	It's All Over Now, Baby Blue	5:17	13th Floor Elevators\Easter Everywhere\05 It's All Over Now, Baby Blue.mp3	10167843
13th Floor Elevators	Easter Everywhere	6	Earthquake	4:50	13th Floor Elevators\Easter Everywhere\06 Earthquake.mp3	9297634
13th Floor Elevators	Easter Everywhere	7	Dust	4:02	13th Floor Elevators\Easter Everywhere\07 Dust.mp3	7771241
13th Floor Elevators	Easter Everywhere	8	I've Got Levitation	2:40	13th Floor Elevators\Easter Everywhere\08 I've Got Levitation.mp3	5137277
13th Floor Elevators	Easter Everywhere	9	I Had To Tell You	2:28	13th Floor Elevators\Easter Everywhere\09 I Had To Tell You.mp3	4756096
The Association	The Association's Greatest Hits	6	Along Comes Mary	2:51	1960s\06 Along Comes Mary-.mp3	2754550
Jeannie C. Riley	Billboard Top 100 - 1968	11	Harper Valley P.T.A.	3:12	1960s\12_Jeannie_C_Riley_Harper_Valley_P_t_a_Plantation.mp3	3084307
The Fifth Dimension	Definitive Collection - Very	23	On The Beach (In The Summer Time)-	3:30	1960s\23 On The Beach (In The Summer Time)-.mp3	3373592
The Hollies	Billboard Top 100 - 1967	64	Carrie Anne	2:56	1960s\65_Hollies_Carrie_Anne.mp3	2833948
The American Breed	Billboard Top 100 - 1968	98	Bend Me, Shape Me	2:14	1960s\American Breed - Bend Me, Shape Me.mp3	2150604
Beau Brummels	Best Of 1964 - 1968	11	One Too Many Mornings	2:48	1960s\beau brummels - one too many mornings.mp3	3419487
Billy Joe Royal	Billboard Top 100 - 1965	52	Down In The Boondocks	2:36	1960s\Billy Joe Royal - Down in The Boondocks.mp3	2515478
Bobbie Gentry	Billboard Top 100 - 1967	3	Ode to Billie Joe	4:16	1960s\Bobbie Gentry - Ode To Billie Joe.mp3	4116279
Booker T. and the MGs	Billboard Top 100 - 1962	53	Green Onions	2:56	1960s\Booker T - Green Onions.mp3	2825192
Dick Dale And His Del-Tones	King Of The Surf Guitar	3	Misirlou	2:14	1960s\Dick Dale - Misirlou.mp3	2759555
Ella Fitzgerald	Get Happy!	4	Beat Me, Daddy, Eight To The Bar	2:30	1960s\Ella Fitzgerald - Beat Me Daddy Eight To The Bar.mp3	4877375
Elvis Presley	Elvis Presley - 30 #1 Hits (History CD2)	23	Return To Sender	2:11	1960s\Elvis Presley - Return To Sender.mp3	3591528
Ennio Morricone	A Fistful Of Film Music: Anthology [CD 1]	8	The Good, The Bad And The Ugly	2:43	1960s\Ennio Morricone - The Good, The Bad, and The Ugly.mp3	6596908
The Everly Brothers	Billboard Top 100 - 1962	47	Crying In The Rain	2:02	1960s\Everly Brothers-Crying_In_The_Rain.mp3	1971721
The Four Tops	Billboard Top 100 - 1965	83	It's The Same Old Song	2:49	1960s\Four Tops - It's the Same Old Song.mp3	2754971
The Fourmyula	HMV 45	None	Nature	2:51	1960s\Fourmyula_-_Nature.mp3	4151594
Gary Lewis & The Playboys	Billboard Top 100 - 1965	59	Save Your Heart For Me	2:03	1960s\Gary Lewis - Save Your Heart For Me.mp3	1988400
Glen Campbell	Capitol Years 65/77	13	Wichita Lineman	3:04	1960s\Glen Campbell - Wichita Lineman.mp3	3596203
Herman's Hermits	The Best Of	17	I'm Henry VII, I Am	1:45	1960s\Hermans Hermits - I'm Henry VII, I Am.mp3	2152008
Hugo Montenegro	Billboard Top 100 - 1968	8	The Good, the Bad and the Ugly	2:41	1960s\Hugo Montenegro - The Good, The Bad, and The Ugly.mp3	2584453
The Irish Rovers	Billboard Top 100 - 1968	76	The Unicorn	3:18	1960s\Irish Rovers - The Unicorn.mp3	3217410
Jim Reeves	The Essential	1	Four Walls	2:51	1960s\Jim Reeves - Four Walls.mp3	3919665
Jim Reeves	The Essential	2	He'll Have To Go	2:21	1960s\Jim Reeves - He'll Have To Go.mp3	2785886
John Barry	Anni Di Hit Parade (1962)	31	James Bond Theme	2:39	1960s\John Barry - James Bond Theme.mp3	3827026
John Fred & His Playboy Band 	Billboard Top 100 - 1968	25	Judy in Disguise (with Glasses) 	2:59	1960s\John Fred - Judy in Disguise.mp3	2884112
Johnny Cash	At Folsom Prison	1	Folsom Prison Blues (Live)	2:44	1960s\Johnny Cash - Folsom Prison Blues (Live).mp3	5150701
Judy Collins	Forever Changing: The Golden Age Of Elektra Records 1963-1973	53	Both Sides Now	3:14	1960s\Judy Collins - Both Sides Now.mp3	6269751
Kenny Rogers & the First Edition	Big Lebowski Soundtrack	8	Just Dropped In (To See What Condition My Condition Was In)	3:21	1960s\Kenny Rogers - Just Dropped In.mp3	3223104
The Kingston Trio	Billboard Top 100 - 1962	95	Where Have All The Flowers Gone	3:03	1960s\Kingston Trio - Where Have All The Flowers Gone.mp3	2942649
Loretta Lynn	Honky Tonk Girl: The Loretta Lynn Collection	29	You've Just Stepped In (From Stepping Out On Me)	2:18	1960s\Loretta Lynn - You Just Stepped In.mp3	2214168
Manfred Mann	The Very Best Of World Of Mann	14	The Mighty Quinn	2:51	1960s\Manfred Mann - The Mighty Quinn.mp3	4379074
Marty Robbins	Billboard Top 100 Hits - 1960	15	El Paso	4:38	1960s\Marty Robbins - El Paso.mp3	5566697
Marvin Gaye & Tammi Terrell 	Billboard Top 100 - 1968	57	Ain't Nothing Like the Real Thing	2:13	1960s\Marvin Gaye & Tammi Terrell - Ain't Nothing Like The Real Thing.mp3	2144371
Mason Williams	Billboard Top 100 - 1968	43	Classical Gas	3:04	1960s\Mason Williams - Classical Gas.mp3	2956859
Merle Haggard	Billboard Number 1s: Classic Country	12	Mama Tried	2:12	1960s\Merle Haggard - Mama Tried.mp3	3200878
Merle Haggard	155 Merle Haggard Collector's Edition	12	Okie From Muskogee	2:41	1960s\Merle Haggard - Okie From Muskogee.mp3	3879085
Nat King Cole	After Midnight	12	(Get Your Kicks On) Route 66	3:43	1960s\Nat King Cole - Route 66.mp3	4472243
New Colony Six	Revelations	None	Things I'd Like To Say	2:23	1960s\New Colony Six - Things I'd Like To Say.mp3	2306614
Patty Duke	Billboard Top 100 - 1965	77	Don't Just Stand There	2:42	1960s\Patty Duke - Don't Just Stand There.mp3	2616376
Peter Paul And Mary	Billboard Top 100 - 1962	98	If I Had A Hammer	2:11	1960s\Peter Paul and Mary - If I Had A Hammer.mp3	2113408
Rascals	Bacobens Rock Top 500 (cd25)	12	People Got To Be Free	3:03	1960s\Rascals - People Got To Be Free.mp3	4407396
The Righteous Brothers	Billboard Top 100 - 1965	21	Unchained Melody	3:39	1960s\Righteous Brothers - Unchained Melody.mp3	3522888
Paul Butterfield Blues Band	Blues Masters, Vol. 15: Slide Guitar Classics	14	Shake Your Money-Maker	2:27	1960s\Shake_Your_Money_Maker_Paul_Butterfield_Blues_Band.mp3	2377175
Simon & Garfunkel	Bookends (Remastered)	3	America	3:35	1960s\Simon & Garfunkel - America.mp3	5181826
Linda Ronstadt & Stone Ponies	Greatest Hits, Vol. 1	7	Different Drum	2:40	1960s\Stone Ponys - Different Drum.mp3	4675389
Tammy Wynette	Tears Of Fire 1	5	Stand By Your Man	2:41	1960s\Tammy Wynette - Stand By Your Man.mp3	4099887
The Temptations	Total Funk: Ultimate Collection	6	Cloud Nine	3:37	1960s\Temptations - Cloud Nine.mp3	8725494
The Avengers	Electric Recording	1	Everyone's Gonna Wonder	2:39	1960s\The Avengers - Everyones Gonna Wonder.mp3	2576310
The Yellow Ballon	Lazy Summer Afternoon	None	Follow the Sunshine	2:33	1960s\TheYellowBalloon-FollowTheSunshine.mp3	2464862
The Tornadoes	Anni Di Hit Parade (1962)	78	Telstar	3:15	1960s\Tornadoes - Telstar.mp3	4690944
The Tremeloes	Billboard Top 100 - 1967	89	Here Comes My Baby	3:05	1960s\Tremeloes - Here Comes My Baby.mp3	2968542
Blue Ash	Poptopia! 70's Power Pop Classics	3	Abracadabra (Have You Seen Her?)	3:09	1970s\03-Abracadabra (Have You Seen Her-).mp3	4544293
Ron Elliott	The Candlestickmaker	4	All Time Green	2:49	1970s\04 Ron Elliott - All Time Green.mp3	1708171
Big Star	Poptopia! 70's Power Pop Classics	4	September Gurls	2:48	1970s\04-September Gurls.mp3	4050974
Badfinger	Poptopia! 70's Power Pop Classics	5	Just a Chance	2:58	1970s\05-Just a Chance.mp3	4292605
Wilderness Road	Sold For The Prevention Of Disease Only	8	The Authentic British Blues	3:26	1970s\08_The_Authentic_British_Blues.mp3	5343201
Randy Newman	Just Like Gold Mix 9/1/10	10	Last Night I Had A Dream [Sin	2:04	1970s\10 Randy Newman - Last Night I Had A Dream [Single vers].mp3	1253142
The Nips	Just Like Gold Mix 9/1/10	20	Gabrielle	3:34	1970s\20 The Nips - Gabrielle.mp3	2152506
Steely Dan	Pretzel Logic	None	Rikki Don't Lose That Number	4:09	1970s\52_Steely_Dan- Rikki_Don_t_Lose_That_Number.mp3	3988553
Adverts	The Best of The Adverts	3	Bored Teenagers	1:53	1970s\Adverts - Bored Teenagers.mp3	1822299
The Beach Boys	American Graffiti Disc 2	None	All Summer Long	2:07	1970s\all_summer_long.mp3	508262
America	America's Greatest Hits: History	4	Ventura Highway	3:22	1970s\America - Ventura Highway.mp3	4871943
The B-52's	The B-52's	6	Dance This Mess Around	4:36	1970s\B52s-Dance This Mess Around.mp3	6646781
Badfinger	Straight Up	2	Baby Blue	3:37	1970s\Badfinger-Baby Blue.mp3	5215939
Badfinger	Magic Christian Music	1	Come and Get It	2:22	1970s\Badfinger-Come and Get It.mp3	3428711
Badfinger	Straight Up	9	Day After Day	3:09	1970s\Badfinger-Day After Day.mp3	4561147
Badfinger	Magic Christian Music	14	Maybe Tomorrow	2:56	1970s\Badfinger-Maybe Tomorrow.mp3	4241254
Badfinger	No Dice	5	No Matter What	3:00	1970s\Badfinger-No Matter What.mp3	4348916
Big Star	#1 Record/Radio City	19	Back of a Car	2:45	1970s\Big Star-Back of a Car.mp3	3989079
Big Star	#1 Record/Radio City	3	In the Street	2:55	1970s\Big Star-In the Street.mp3	4206924
Big Star	#1 Record/Radio City	4	Thirteen	2:34	1970s\Big Star-Thirteen.mp3	3720517
Big Star	#1 Record/Radio City	7	When My Baby's Beside Me	3:22	1970s\Big Star-When My Baby's Beside Me.mp3	4876129
Big Star	#1 Record/Radio City	17	You Get What You Deserve	3:07	1970s\Big Star-You Get What You Deserve.mp3	4516169
Blue Oyster Cult	Agents Of Fortune	1	Don't Fear the Reaper	5:08	1970s\Blue Oyster Cult - Dont Fear the Reaper.mp3	4939408
Bobby Womack	American Gangster OST	4	Across 110th Street	3:47	1970s\Bobby Womack - Across 110th Street.mp3	4969933
Can	Future Days	3	Moonshake	3:04	1970s\Can - Moonshake.mp3	4800539
Cheap Trick	Heaven Tonight [Bonus Tracks]	3	California Man	3:44	1970s\Cheap Trick-California Man.mp3	5397452
Cheap Trick	In Color [Bonus Tracks]	9	Come on, Come On	2:39	1970s\Cheap Trick-Come on, Come On.mp3	3830600
Cheap Trick	Cheap Trick [1977] [Bonus Tracks]	8	He's a Whore	2:42	1970s\Cheap Trick-He's a Whore.mp3	3910110
Cheap Trick	In Color [Bonus Tracks]	4	I Want You to Want Me	3:11	1970s\Cheap Trick-I Want You to Want Me.mp3	4604341
Cheap Trick	Cheap Trick [1977] [Bonus Tracks]	5	Oh, Candy	3:06	1970s\Cheap Trick-Oh, Candy.mp3	4488531
Cheap Trick	Heaven Tonight [Bonus Tracks]	1	Surrender	4:15	1970s\Cheap Trick-Surrender.mp3	6146147
Curtis Mayfield	Greatest Hits	None	Move On Up	3:37	1970s\Curtis Mayfield - Move On Up.mp3	3486512
The Doobie Brothers	Listen to the Music	7	Rockin' Down the Highway	3:21	1970s\Doobie Brothers - Rockin' Down The Highway.mp3	4042526
Electric Light Orchestra	Eldorado	2	Can't Get It Out Of My Head	4:22	1970s\ELO - Can't Get It Out Of My Head.mp3	10486415
The Flamin' Groovies	Groovies Greatest Grooves	7	First Plane Home	3:51	1970s\Flamin Groovies-First Plane Home.mp3	5560885
The Flamin' Groovies	Groovies Greatest Grooves	17	I Can't Hide	3:13	1970s\Flamin Groovies-I Can't Hide.mp3	4655082
The Flamin' Groovies	Groovies Greatest Grooves	22	Jumpin  In The Night	3:24	1970s\Flamin Groovies-Jumpin  In The Night.mp3	4917362
The Flamin' Groovies	Groovies Greatest Grooves	1	Shake Some Action	4:34	1970s\Flamin Groovies-Shake Some Action.mp3	6580635
The Flamin' Groovies	Groovies Greatest Grooves	3	Slow Death	4:23	1970s\Flamin Groovies-Slow Death.mp3	6331479
The Flamin' Groovies	Groovies Greatest Grooves	11	You Tore Me Down	2:49	1970s\Flamin Groovies-You Tore Me Down.mp3	4084174
Fleetwood Mac	Rumours	5	Go Your Own Way	3:44	1970s\Fleetwood Mac - Go Your Own Way.mp3	5379750
Jake Trout & the Flounders	I Love To Play	6	Gary McCord	3:10	1970s\GaryMcCord.mp3	4585470
Gordon Lightfoot	Rhino Hi-Five: Gordon Lightfoot - EP	12	Carefree Highway	3:46	1970s\Gordon Lightfood - Carefree Highway.mp3	5440917
Hall & Oates	None	1	Sara Smile 	3:10	1970s\Hall & Oates - Sara Smile (CDQ).mp3	3059862
Jean Knight	Sweet Soul Music: The Best of Stax Disc 1	7	Mr. Big Stuff	2:36	1970s\Jean Knight - Mr. Big Stuff.mp3	3773576
John Lennon	Walls And Bridges	7	#9 Dream	4:47	1970s\John Lennon - #9 Dream.mp3	7210891
King Floyd	Billboard Top 100 - 1971	77	Groove Me	3:00	1970s\King Floyd - Groove Me.mp3	2887686
The Main Ingredient	Billboard Top 100 - 1972	29	Everybody Plays the Fool	3:16	1970s\Main Ingredient - Everybody Plays the Fool.mp3	3151033
Jill Sobule	None	None	Manhattan In January	2:29	1970s\ManhattanInJanuary.mp3	3597503
Marvin Gaye	Gold 2CD	25	Trouble Man	3:51	1970s\Marvin Gaye - Trouble Man.mp3	6695178
Michael Nesmith	Magnetic South	5	Joanne	3:13	1970s\Michael Nesmith - Joanne.mp3	4688021
Plastic Bertrand	The World of Punk CD 2	15	Ca Plane Por Moi	2:59	1970s\Plastic Bertrand - Ca Plane Por Moi.mp3	4256797
Queen	Greatest Hits (We Will Rock You Edition)	3	Killer Queen	3:02	1970s\Queen - Killer Queen.mp3	4873817
Roxy Music	Country Life	3	All I Want Is You	2:53	1970s\Roxy Music - All I Want Is You.mp3	4857253
Roy Harper	Valentine	11	Home	3:09	1970s\Roy Harper - Home.mp3	3045438
Shaun Cassidy	Billboard Top 100 - 1977	79	That's Rock N Roll	2:56	1970s\Shaun Cassidy - That's Rock And Roll.mp3	2832948
Starland Vocal Band	Super Hits of the 70&apos;s	None	Afternoon delight	3:16	1970s\Starland Vocal Band - Afternoon delight - Super Hits of the 70's.mp3	3936411
Th' Dudes	None	7	Be Mine Tonight	6:07	1970s\Th Dudes - Be Mine Tonight.mp3	7379200
The Cure	Three Imaginary Boys (Deluxe Edition)	5	10:15 Saturday Night (RS Home Demo)	4:36	1970s\The Cure - 1015 Saturday Night (demo).mp3	6341572
The Damned	Damned Damned Damned	1	Neat Neat Neat	2:43	1970s\The Damned - Neat Neat Neat.mp3	2616846
The Five Stairsteps	None	None	Ooh child	3:15	1970s\The Five Stairsteps - Ooh child.mp3	4689949
The Knack	Get The Knack	7	My Sharona	4:55	1970s\The Knack-My Sharona.mp3	7102072
The Raspberries	Power Pop, Vol. 2	16	Cruisin' Music	3:11	1970s\The Raspberries-Cruisin' Music.mp3	4591242
The Raspberries	Power Pop, Vol. 1	19	Drivin' Around	2:58	1970s\The Raspberries-Drivin' Around.mp3	4278868
The Raspberries	Power Pop, Vol. 2	8	Ecstasy	3:37	1970s\The Raspberries-Ecstasy.mp3	5217234
The Raspberries	Power Pop, Vol. 1	1	Go All the Way	3:23	1970s\The Raspberries-Go All the Way.mp3	4886699
The Raspberries	Power Pop, Vol. 1	10	I Wanna Be with You	3:04	1970s\The Raspberries-I Wanna Be with You.mp3	4435985
The Raspberries	Power Pop, Vol. 2	11	Play On	3:04	1970s\The Raspberries-Play On.mp3	4434122
The Raspberries	Power Pop, Vol. 2	1	Tonight	3:40	1970s\The Raspberries-Tonight.mp3	5301744
Todd Rundgren	The Very Best of Todd Rundgren	None	I Saw the Light	3:03	1970s\todd_rundgren-i_saw_the_light.mp3	3678880
Tracey Ullman	You Broke My Heart In Seventeen Places	8	They Don't Know	2:59	1970s\tu_know.mp3	4038806
Wreckless Eric	Greatest Stiffs	1	Whole Wide World	2:59	1970s\we_world.mp3	3648554
Tommy Keene	Real Underground	1	Places That Are Gone	3:58	1980s\01-Places That Are Gone.mp3	5723624
Tommy Keene	Real Underground	4	Back to Zero Now	3:07	1980s\04-Back to Zero Now.mp3	4507928
Tommy Keene	Songs from the Film	4	Paper Words and Lies	2:24	1980s\04-Paper Words and Lies.mp3	3471254
The Lolitas	Everyday is a Holly-day	5	Not Fade Away	2:13	1980s\05_Not_fade_away_Lolitas.mp3	2714174
The Pixies	Doolittle	7	Monkey Gone to Heaven	2:57	1980s\07_Monkey Gone to Heaven.mp3	4236069
Tommy Keene	Songs from the Film	9	My Mother Looked Like Marilyn Monroe	3:22	1980s\09-My Mother Looked Like Marilyn Monroe.mp3	4875388
Tommy Keene	Songs from the Film	15	Away from It All	2:54	1980s\15-Away from It All.mp3	4196159
Tommy Keene	Real Underground	15	Love Is the Only Thing That Matters	2:34	1980s\15-Love Is the Only Thing That Matters.mp3	3717936
Paul Davis	Billboard Top 100 - 1982	39	'65 Love Affair	3:56	1980s\40_Paul_Davis_65_Love_Affair.mp3	3786188
Asia	Very Best Of: Heat Of The Moment (1982-1990)	1	Heat Of The Moment	3:52	1980s\Asia - Heat of The Moment.mp3	5587205
The B-52's	Cosmic Thing	6	Roam	4:55	1980s\B52s - Roam.mp3	9459154
Bangles	None	None	Hazy Shade Of Winter	2:47	1980s\Bangles - Hazy Shade Of Winter.mp3	3341712
Beastie Boys	Paul's Boutique	2	Shake Your Rump	3:19	1980s\Beastie Boys - Shake Your Rump.mp3	7984748
Billy Idol	Billy Idol	None	White Wedding	3:35	1980s\Billy Idol - White Wedding.MP3	3456461
Blue Oyster Cult	Fire Of Unknown Origin	2	Burnin' For You	4:29	1980s\Blue Oyster Cult - Burnin' For You.mp3	6472491
Bow Wow Wow	The Best of Bow Wow Wow	1	I Want Candy	2:47	1980s\Bow Wow Wow - I Want Candy.mp3	6720014
Captain Sensible	Women And Captains First	5	Happy Talk	3:32	1980s\Captain Sensible - Happy Talk.mp3	8529427
Dave Edmunds	The Best Of Dave Edmunds	7	Almost Saturday Night	2:10	1980s\Dave Edmunds - Almost Saturday Night.mp3	3256445
None	None	None	None	4:11	1980s\Dexys Midnight Runners--Burn It Down.mp3	4018513
Don Henley	Building The Perfect Beast	1	The Boys Of Summer	4:48	1980s\Don Henley - Boys of Summer.mp3	8246931
The English Beat	The Platinum Collection	9	Save It For Later	3:33	1980s\English Beat - Save It For Later.mp3	5138398
Eurythmics	greatest hits	3	here comes the rain again	5:06	1980s\Eurythmics - Here Comes The Rain Again.mp3	6144561
Falco	Einzelhaft	2	Der Kommissar	3:54	1980s\Falco - Der Kommissar.mp3	5637382
Fine Young Cannibals	The Finest	4	Good Thing	3:22	1980s\Fine Young Cannibals - Good Thing.mp3	4871873
The Fixx	Greatest Hits	2	Red Skies	4:35	1980s\Fixx - Red Skies - 80's.mp3	4419123
The Go-Go's	Beauty And The Beat	8	Our Lips Are Sealed	2:44	1980s\Go Gos - Our Lips Are Sealed.mp3	3958467
Hooters	Nervous Night	3	All You Zombies	6:01	1980s\Hooters-All You Zombies.mp3	8694885
The Human League	Dare	1	Don't You Want Me	3:58	1980s\Human League - Don't You Want Me.mp3	5723286
INXS	Shabooh Shoobah	10	Don't Change	4:24	1980s\Inxs - Don't Change.mp3	6354543
INXS	Shabooh Shoobah	1	The One Thing	3:23	1980s\Inxs - The One Thing.mp3	4885626
J. Geils Band	Freeze Frame	2	Centerfold	3:38	1980s\J. Geils Band - Centerfold.mp3	7653652
The Jesus & Mary Chain	Psychocandy	5	Just Like Honey	3:03	1980s\Jesus & Mary Chain - Just Like Honey.mp3	4415439
None	None	None	None	4:41	1980s\John Cougar Mellencamp - Little Pink Houses.mp3	4495624
Jonathan Richman	Sounds of the Seventies (Disk 2)	13	Egyptian Reggae	2:36	1980s\Jonathan Richman - Egyptian Reggae.mp3	3767357
Kate Bush	The Sensual World	10	This Woman's Work	3:35	1980s\Kate Bush - This Womans Work.mp3	5179692
Kim Wilde	Kim Wilde's Greatest Hits	1	Kids In America	3:25	1980s\Kim Wilde - Kids in America.mp3	3944853
Madonna	True Blue	None	True Blue	4:17	1980s\Madonna - True Blue.mp3	4110992
Marshall Crenshaw	The Best of Marshall Crenshaw: This Is Easy	4	Cynical Girl	2:34	1980s\Marshall Crenshaw-Cynical Girl.mp3	3711681
Marshall Crenshaw	The Best of Marshall Crenshaw: This Is Easy	5	Mary Anne	2:53	1980s\Marshall Crenshaw-Mary Anne.mp3	4169284
Marshall Crenshaw	The Best of Marshall Crenshaw: This Is Easy	2	Someday, Someway	2:49	1980s\Marshall Crenshaw-Someday, Someway.mp3	4072261
Marshall Crenshaw	The Best of Marshall Crenshaw: This Is Easy	1	Something's Gonna Happen	2:17	1980s\Marshall Crenshaw-Something's Gonna Happen.mp3	3310427
Marshall Crenshaw	The Best of Marshall Crenshaw: This Is Easy	3	There She Goes Again	2:38	1980s\Marshall Crenshaw-There She Goes Again.mp3	3804337
Marshall Crenshaw	The Best of Marshall Crenshaw: This Is Easy	8	Whenever You're on My Mind	3:18	1980s\Marshall Crenshaw-Whenever You're on My Mind.mp3	4762135
Marshall Crenshaw	The Best of Marshall Crenshaw: This Is Easy	6	You're My Favorite Waste of Time	2:39	1980s\Marshall Crenshaw-You're My Favorite Waste of Time.mp3	3830015
Midnight Oil	Diesel And Dust	6	The Dead Heart	5:11	1980s\Midnight Oil - The Dead Heart.mp3	7463616
Neneh Cherry	Prison Break Soundtrack	8	Buffalo Stance	3:50	1980s\Neneh Cherry - Buffalo Stance.mp3	9222819
Owen Paul	Now 7 (CD 2)	2	Favorite Waste Of Time	3:25	1980s\Owen Paul - My Favourite Waste Of Time.mp3	3543923
Phil Collins	Face Value	1	In The Air Tonight	5:35	1980s\Phil Collins - In The Air Tonight.mp3	10744579
The Police	Ghost In The Machine	2	Every Little Thing She Does Is Magic	4:16	1980s\Police - Every Little Thing She Does Is Magic.mp3	6148207
Prince	Purple Rain	3	The Beautiful Ones	5:14	1980s\Prince - The Beautiful Ones.mp3	7548244
Proclaimers	None	None	500 Miles	3:36	1980s\Proclaimers - 500 Miles.mp3	3461954
The Psychedelic Furs	Talk Talk Talk	1	Pretty In Pink	3:58	1980s\Psychedelic Furs - Pretty In Pink.mp3	5767750
The Psychedelic Furs	Mirror Moves	1	The Ghost In You	4:17	1980s\Psychedelic Furs - The Ghost In You.mp3	6178405
Soft Boys	Quality Check	None	QoE 224	2:50	1980s\Queen of Eyes extended remix.mp3	4760044
The Rainmakers	None	1	Let My People Go Go	3:40	1980s\Rainmakers - Let My People Go Go.mp3	3534483
Roxy Music	More Than This: The Best Of Bryan Ferry & Roxy Music	17	More Than This	4:09	1980s\Roxy Music - More Than This.mp3	6094391
None	Greatest Hits Of The 80s CD1	4	Stars on 45 (Medley)	4:51	1980s\Stars On 45 - Stars On 45.mp3	9849457
The Stone Roses	The Complete Stone Roses	14	I Wanna Be Adored	3:30	1980s\Stone Roses - I Wanna Be Adored.mp3	5580269
The Stray Cats	Built For Speed	1	Rock This Town	3:25	1980s\Stray Cats - Rock This Town.mp3	4925739
The Swingers	The best ever Australian Album Disc One	5	Counting The Beat	3:01	1980s\Swingers - Counting The Beat.mp3	3642873
Tears for fear	None	None	Pale shelter	4:39	1980s\Tears For Fears - Pale Shelter.mp3	4468529
The Bangles	The Essential (Remastered)	13	Hero Takes A Fall	2:56	1980s\The Bangles - Hero Takes A Fall.mp3	5062627
The dB's	Children of Nuggets: v1	19	(I Thought) You Wanted to Know	3:18	1980s\The dB's - (I Thought) You Wanted to Know.mp3	5593540
The dB's	Repercussion	5	Amplifier	3:06	1980s\The dB's-Ask for Jill.mp3	4473359
The dB's	Stands for Decibels	9	Big Brown Eyes	2:00	1980s\The dB's-Big Brown Eyes.mp3	2908359
The dB's	Stands for Decibels [IRS]	1	Black and White	3:10	1980s\The dB's-Black and White.mp3	4583542
The dB's	Stands for Decibels [IRS]	7	Cycles Per Second	3:06	1980s\The dB's-Cycles Per Second.mp3	4476490
The dB's	Repercussion	8	Neverland	2:34	1980s\The dB's-Neverland.mp3	3709013
The dB's	Stands for Decibels [IRS]	6	Tearjerkin'	3:57	1980s\The dB's-Tearjerkin'.mp3	5691550
The Feelies	Shore Leave +	20	I Wanna Sleep in Your Arms	1:50	1980s\The Feelies - I Wanna Sleep in Your Arms.mp3	2790130
The Who	Face Dances	1	You Better You Bet	5:35	1980s\The Who - You Better You Bet.mp3	2129920
None	None	None	None	5:35	1980s\Tom Tom Club - Genius Of Love.mp3	5357528
Tone Loc	Billboard Top 100 - 1989	65	Funky Cold Medina	4:08	1980s\Tone Loc - Funky Cold Medina.mp3	3978479
Toto	Toto IV	10	Africa	4:58	1980s\Toto - Africa.mp3	7232774
U2	October	7	October	2:20	1980s\U2 - October.mp3	2826440
The Wedding Present	Bizarro	1	Brassneck	4:51	1980s\Wedding Present - Brassneck.mp3	7011662
The Rain Parade	Emergency Third Rail Power Trip	3	I Look Around	3:07	1980s\The Rain Parade\I Look Around.mp3	3745792
The Rain Parade	Emergency Third Rail Power Trip	6	What She's Done To Your Mind	2:56	1980s\The Rain Parade\What She's Done To Your Mind.mp3	3528704
Braid	Movie Music 2	16	This Charming Man	2:21	1980s\The Smiths\braid - this charming man (smiths cover).mp3	2271232
